Unnamed: 0,PROVISIONAL,BUQUE,IMO,FECHA_ETA,HORA_ETA,FECHA_ETD,HORA_ETD,TXTNUMIMO,TXTESLORA,TXTMANGA,TXTVELMAX,TXTCALADO
561,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,34.0,7.65,,2.77
562,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.0,6.49,,
563,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,19.0,6.0,,2.0
564,anon_provisional_640,anon_buque_641,anon_imo_179,05/01/2021 00:00:00,01/01/1900 11:00:00,05/02/2021 00:00:00,01/01/1900 14:00:00,anon_imo_179,107.34,15.8,13.0,6.58
565,anon_provisional_642,anon_buque_643,anon_imo_180,05/03/2021 00:00:00,01/01/1900 06:00:00,05/04/2021 00:00:00,01/01/1900 15:00:00,anon_imo_180,89.88,12.91,0.0,5.55
566,anon_provisional_644,anon_buque_645,anon_imo_181,05/03/2021 00:00:00,01/01/1900 06:00:00,05/04/2021 00:00:00,01/01/1900 12:00:00,anon_imo_181,99.0,15.0,0.0,6110.0
567,anon_provisional_646,anon_buque_647,anon_imo_182,05/04/2021 00:00:00,01/01/1900 05:00:00,05/05/2021 00:00:00,01/01/1900 12:00:00,anon_imo_182,121.0,16.0,0.0,6320.0
568,anon_provisional_648,anon_buque_649,anon_imo_183,05/06/2021 00:00:00,01/01/1900 07:00:00,05/11/2021 00:00:00,01/01/1900 22:00:00,anon_imo_183,89.0,12.0,0.0,4652.0
569,anon_provisional_650,anon_buque_651,anon_imo_184,01/21/2021 00:00:00,01/01/1900 06:00:00,01/22/2021 00:00:00,01/01/1900 23:00:00,anon_imo_184,88.0,12.0,0.0,5470.0
570,anon_provisional_652,anon_buque_653,anon_imo_184,07/28/2021 00:00:00,01/01/1900 22:00:00,07/30/2021 00:00:00,01/01/1900 22:00:00,anon_imo_184,88.0,12.0,0.0,5470.0
571,anon_provisional_654,anon_buque_655,anon_imo_185,02/14/2021 00:00:00,01/01/1900 20:00:00,02/16/2021 00:00:00,01/01/1900 18:00:00,anon_imo_185,100.0,16.0,0.0,6314.0
572,anon_provisional_656,anon_buque_657,anon_imo_186,02/17/2021 00:00:00,01/01/1900 11:00:00,02/17/2021 00:00:00,01/01/1900 23:00:00,anon_imo_186,74.94,11.4,10.0,4.35
573,anon_provisional_658,anon_buque_659,anon_imo_187,12/28/2021 00:00:00,01/01/1900 12:00:00,12/30/2021 00:00:00,01/01/1900 16:00:00,anon_imo_187,87770.0,12900.0,0.0,5518.0
574,anon_provisional_660,anon_buque_661,anon_imo_188,12/30/2021 00:00:00,01/01/1900 07:00:00,01/03/2022 00:00:00,01/01/1900 22:00:00,anon_imo_188,89.0,14.0,0.0,6270.0
575,anon_provisional_662,anon_buque_661,anon_imo_188,05/31/2021 00:00:00,01/01/1900 12:00:00,06/02/2021 00:00:00,01/01/1900 16:00:00,anon_imo_188,89.0,14.0,0.0,6270.0
